transaction_id,customer_id,customer_name,email,purchase_date,product_category,product_name,quantity,unit_price,total_amount,payment_method,shipping_country,customer_age,discount_percent,Unnamed: 14,net_amount,customer_segment,date_month,total_amount_in_usd,Actual_discount_in_dollars,is_repeat_customer,purchase_quarter,month,time,order_value
TRX016,C012,Patricia Brown,patricia@email.com,2024-01-29,Clothing,Jacket,2,299.99,299.99,Credit Card,USA,55,15,,59.998000000000005,medium,2024-01,179.98800020000002,120.0019998,False,1,January,1,599.98
TRX017,C013,Andrew Davis,andrew.davis@yahoo.com,2024-01-30,Books,Web Dev Guide,1,39.99,39.99,PayPal,USA,29,10,,7.998000000000001,low,2024-01,3.1984002000000005,36.7915998,False,1,January,1,39.99
TRX018,C014,Nicole Wilson,nicole_w@email.com,2024-01-31,Home,Toaster,2,34.99,69.98,Credit Card,USA,31,0,,13.996000000000002,low,2024-01,9.794400800000002,60.1855992,False,1,January,1,69.98
TRX019,C015,Daniel Rodriguez,daniel@email.com,2024-02-01,Electronics,Mouse,5,29.99,69.8,Credit Card,USA,27,5,5.0,13.96,low,2024-02,9.74408,60.05592,False,1,February,2,149.95
TRX020,C016,Sandra Lee,sandra.lee@email.com,2024-02-02,Clothing,Sweater,1,89.99,89.99,Credit Card,USA,33,0,,17.998,low,2024-02,16.1964002,73.7935998,False,1,February,2,89.99
TRX021,C002,Sarah Johnson,sarah_j@email.com,2024-02-03,Books,Database Design,1,55.0,55.0,PayPal,Canada,35,20,,11.0,low,2024-02,6.05,48.95,True,1,February,2,55.0
TRX022,C017,Thomas Clark,thomas@email.com,2024-02-04,Electronics,USB Hub,3,24.99,74.97,Debit Card,USA,50,0,,14.994,low,2024-02,11.2410018,63.7289982,False,1,February,2,74.97
TRX023,C018,Amanda Taylor,amanda.t@email.com,2024-02-05,Home,Microwave,1,199.99,199.99,Credit Card,USA,42,10,,39.998000000000005,medium,2024-02,79.99200020000002,119.99799979999999,False,1,February,2,199.99
TRX024,C019,Kevin Miller,kevin_m@email.com,2024-02-06,Clothing,Shoes,1,129.99,129.99,PayPal,USA,38,25,,25.998000000000005,medium,2024-02,33.79480020000001,96.1951998,False,1,February,2,129.99
TRX025,C020,Sophia Anderson,sophia@email.com,2024-02-07,Books,AI Fundamentals,1,49.99,49.99,Credit Card,USA,28,0,,9.998000000000001,low,2024-02,4.998000200000001,44.9919998,False,1,February,2,49.99
TRX026,C021,Matthew Thomas,matthew.t@email.com,2024-02-08,Electronics,Monitor,1,349.99,349.99,Credit Card,USA,35,5,,69.998,medium,2024-02,244.98600020000003,105.00399979999997,False,1,February,2,349.99
TRX027,C022,Olivia Jackson,olivia.j@email.com,2024-02-09,Clothing,Pants,2,69.99,139.98,Debit Card,Canada,31,15,,27.996,medium,2024-02,39.188800799999996,100.7911992,False,1,February,2,139.98
TRX028,C023,Christopher White,christopher@email.com,2024-02-10,Home,Air Fryer,1,159.99,159.99,Credit Card,USA,44,0,,31.998000000000005,medium,2024-02,51.19360020000001,108.79639979999999,False,1,February,2,159.99
TRX029,C024,Isabella Harris,isabella.h@email.com,2024-02-11,Books,Python Advanced,1,59.99,59.99,PayPal,USA,26,0,,11.998000000000001,low,2024-02,7.197600200000001,52.7923998,False,1,February,2,59.99
TRX030,C025,Benjamin Martin,b.martin@email.com,2024-02-12,Electronics,Laptop,1,1299.99,-1299.99,Credit Card,USA,52,40,,-259.998,low,2024-02,3379.9480002,-4679.9380002,False,1,February,2,1299.99
